FEN,Move
6k1/bp4p1/p2Np2p/P1ppp3/8/B2n1K1P/8/8 b - - 1 31,b7b5
rnb2rk1/ppp2pbp/4p1p1/8/2B2N2/1P1Pq1P1/P1P4P/2B1K2R w K - 0 15,c1e3
r1bqk2r/p1pp1p1p/5np1/1B2p3/Q2nP3/2b5/PP1P1PPP/RNB1K1NR w KQkq - 0 9,d2c3
2kr3r/pp2np2/4p1p1/2qpP2p/P1n2P2/1P1B1N2/2P3PP/R1BQR2K b - - 0 17,h5h4
r3nk2/p1b2ppp/1pn5/2p1p3/P1NpP3/3P1NPq/1PP2P1P/R3KQ1R b KQ - 3 16,h3e6
R3kbr1/7p/5pp1/2p5/8/2P2P1P/5P2/6K1 b - - 2 31,e8f7
r5k1/pppq1p2/2nb4/5P1Q/3pr2P/1P5B/PBP2P2/R4RK1 b - - 0 19,d7d8
r3k2r/1pp2ppp/p1qbbn2/3p4/1PPPp3/NQ2P3/PB3PPP/R3K1NR w KQkq - 1 11,c4c5
3rR1k1/p1Q3p1/3r1p1p/1B1P2q1/2P5/1P4PP/P2R1P2/6K1 b - - 5 32,g8h7
2r5/4kp1p/2pRb1p1/p7/Pr2P3/2p1KP1P/2P3P1/2R2N2 w - - 4 30,d6d3
8/pbb5/2p1kpn1/4pN2/4P1P1/PP3P2/1BP4R/2K5 w - - 3 36,h2h7
3r2k1/1p6/4b3/p4pp1/2PN4/1P1K4/7P/8 b - - 3 31,e6d7
r4rk1/pp6/7p/4pbp1/8/4B2P/PP3PP1/3R1RK1 w - - 0 21,d1d6
5r2/p5k1/1p2b1p1/2p5/3pR3/P5N1/5PP1/5RK1 b - - 2 39,e6b3
r4r1k/p5p1/5Q1p/8/3p4/8/PPP2PPP/R3R1K1 b - - 0 20,f8f6
8/p6p/1k6/2r1p3/2B1R2P/P3N3/5K2/3R4 b - - 1 39,c5a5
2k1q2r/1pp3pp/p1p2n2/8/8/2N1NQ2/PPP2PPP/R5K1 w - - 1 19,f3d1
rn1q1rk1/1p2bp1p/4p1p1/3pB2n/p2P4/P1PQ1P2/1PBN2PP/1K1R2NR b - - 1 17,b7b5
4k2r/ppp3pp/4N3/4n3/8/8/PPP3PP/R5K1 b k - 0 17,e8f7
r1bqk2r/pp1pnppp/2n5/2b1p1B1/2P5/5N2/PP2PPPP/RN1QKB1R w KQkq - 4 7,g5e7
4rk2/1pp5/p2p1nQR/4p2P/1PP5/5p2/P4q2/2KR4 w - - 3 34,g6f6
8/1KP5/p5p1/P7/1q6/8/6k1/8 w - - 0 47,b7a8
8/2B3pk/P4p1p/8/2b3P1/2P4P/7N/6K1 b - - 0 35,c4a6
1n2k3/4n2N/2bp1bp1/2p1p3/4P3/P1BP2N1/2P3PP/3QK2R b K - 0 26,b8d7
r1b4r/ppp1n1k1/3q2p1/3p2B1/3b4/2NB1Q2/PP3PPP/R4RK1 w - - 4 15,h2h3
r2r4/p1p1kpQ1/1p2p1n1/2p3P1/8/2NB4/PPP2K2/R6R w - - 1 21,g7f6
r2q1rk1/p1p2ppp/b1pb1n2/3p4/4p3/1P1PP1N1/PBP2PPP/RN1Q1RK1 w - - 1 10,f1e1
r2q1rk1/2pn1ppp/1p1pp3/p2bP3/3P1P2/3B1N2/PPPRQ1PP/2K4R w - - 0 13,d3h7
1rb1kb1r/1p1ppppp/pq3n2/2p5/3P4/2N1P3/PPP2PPP/1R1QKBNR b Kk - 1 6,e7e6
3k1b1r/2R3p1/p3pn2/4Bb2/N2Pp2p/7P/PP3PP1/4R1K1 w - - 2 26,e1c1
7k/6p1/5p1p/8/3r1P2/R5KP/5P2/8 w - - 0 35,g3g4
1R6/2B1pk2/5pp1/r1NP4/8/4P1P1/5PK1/8 w - - 1 36,c7a5
8/1p6/1p1k4/6p1/2P3K1/1P4P1/P7/8 b - - 3 48,d6c5
2kr1b2/ppp2Q2/5qp1/4p2p/2B1P3/7P/PPP2PP1/R1B2RK1 b - - 0 13,f6h8
rn2k2r/pppbqppp/4pn2/8/8/2BP1N2/PPPQBPPP/R3K2R w KQkq - 3 10,c3b4
8/8/1R6/3k1ppp/3B4/4P2P/2r2PP1/6K1 w - - 3 41,h3h4
rnb1k2r/pppq1ppp/4p3/3p4/3Pn3/3BPN2/PPP2PPP/RN1QK2R w KQkq - 2 8,d3e4
1r4k1/4pp1p/1PBq2p1/3P4/3b2P1/2p2P2/4Q2P/1R2R2K w - - 0 38,b6b7
rnbqkbnr/pp2pp1p/6p1/2p5/3pP3/3P2N1/PPP2PPP/R1BQKBNR b KQkq - 1 5,g8f6
r6r/3kn3/p2bbp2/1p1pp1p1/7p/P1N1P2P/1B1P1PPN/R1R3K1 b - - 1 18,a8c8
rnb1k2r/p1q2ppp/3np3/4N3/2pP4/4P3/2Q2PPP/R1B1KB1R b KQkq - 1 14,e8g8
r2qk2r/pp1n1pp1/2p2n1p/4p3/2PbP3/P1N2B1P/1P3PP1/R1BQ1RK1 w kq - 1 12,c3e2
r1q1r1k1/5pbp/pp1p2b1/2pPp1B1/P1P1P2R/2N3P1/1P3PK1/R7 w - - 1 26,g3g4
3k4/2R4R/8/pBP5/4pB2/4P1Pb/4r3/5K2 w - - 3 46,h7h3
r2qr1k1/pb1ppp1p/1p4p1/2b1P1B1/5P2/3Bn3/P1P1N1PP/RQ3R1K w - - 5 18,f1f2
3r3r/p1kp1pp1/Bpp5/4P3/4qP2/2B2pQ1/PP5P/1K5R w - - 7 28,b1a1
2k5/1p3p1p/2pp4/5P2/1r5P/5K2/8/8 b - - 1 38,h7h5
r4rk1/1b4pp/p4n2/4p3/1q6/4B3/3NQPPP/2R2RK1 w - - 4 24,e3c5
rnb2rk1/pp3pbp/3qp1p1/1N1p1nB1/8/1B1P1N1P/PPP2PP1/R2QR1K1 b - - 2 12,d6b6
8/6p1/1p2k1K1/3pP3/p7/8/8/8 b - - 1 42,a4a3
r2r2k1/p3bp1p/2p1b1p1/2q1p2P/4Q3/2NB4/PPP3P1/R4R1K b - - 0 20,d8d4
r7/2p1R3/2p5/8/5k2/8/4KP2/8 b - - 3 58,f4g5
3r1br1/pp1kn2p/2p3pP/q1Pp4/3Q1BP1/2N5/PP3P2/1K1RR3 b - - 6 23,g6g5
1k2Q3/p7/1p2p3/1B2P1p1/3q1p2/5P2/P1R3K1/8 b - - 16 51,d4d8
b7/6k1/p2N4/1p1pP2p/5P2/8/Pr4PP/2R2RK1 w - - 4 37,c1c7
r7/pp6/2p5/3p4/2k5/2b5/7r/1K6 b - - 15 46,h2h8
r2q4/ppp3pp/2n3k1/5R1R/4N3/8/PPP3PP/6K1 b - - 0 21,d8d1
1r3rk1/3bqp1p/P7/5P2/6P1/2N4P/KPP5/R6R b - - 0 27,b8b2
r4rk1/pppqbpp1/2n1p1np/3pP3/2PP4/1P3NB1/P2N1PPP/R2QK2R w KQ - 1 13,h2h4
r1b2rk1/p4pbp/1q2p1p1/3p4/3PNB2/Q3P3/PP2NPPP/1R2K2R b K - 0 15,d5e4
2kr3r/2pqbpp1/1p1p1nn1/P2P3p/8/1Q2PN2/3N1PPP/1RB1KB1R b K - 0 18,f6d5
2r2r2/p7/8/3k4/3p4/P7/3R1P1P/5K2 w - - 4 34,h2h4
1q2rnk1/p3rpp1/2p4p/1p2PQ2/8/1P4N1/P5PP/4RRK1 w - - 5 29,h2h4
8/8/4pR2/6p1/2b3k1/8/5PK1/8 w - - 2 48,g2g1
6k1/6bp/3q2bN/Pp1p2Q1/1P1Pp3/2r5/5RP1/6K1 b - - 1 30,g7h6
r3k2r/1bqnbp2/p2p2p1/1p6/4P3/4B1Q1/PPP2PPP/R3K2R b KQkq - 3 15,e7h4
1r5r/3P4/5k2/5b2/1pK3p1/2p5/8/8 b - - 1 49,h8h7
r1b1kb1r/1pp1qppp/p2p1n2/4p3/2BnP3/2NP3N/PPP2PPP/R1BQK2R w KQkq - 0 8,h3g5
8/5p2/4p1k1/PR2P1pp/5P2/r5PK/7P/8 b - - 1 36,g5f4
5k2/2pR4/P4b2/6p1/3p3p/1P1B4/r1P2PK1/8 w - - 2 49,g2f3
2r1r1k1/1pq1bpp1/p2p1n1p/2p5/P1Q1PB2/2N4P/1PP2PP1/3RR1K1 w - - 0 17,f2f3
7R/p2nqp2/k7/1P1Q4/P7/4PN2/5Pp1/R5K1 b - - 0 29,a6a5
r2q1rk1/pp3p1p/2npb1p1/2pNp3/4P3/1P1P1Q2/P4PPP/4KBNR w K - 4 14,f3f6
7Q/8/b3p3/k2p4/5P2/5K2/8/8 w - - 0 54,h8c3
rnbqk2r/ppp2p1p/3bp3/6p1/3Pp3/4PNB1/PPP2PPP/R2QKB1R w KQkq - 0 8,f3d2
r1b1q1k1/ppp2ppp/6n1/8/8/1B5P/PP1N1PP1/R3Q1K1 b - - 1 17,c8d7
rnbqkb1r/pp3ppp/2p2n2/3p4/2PP4/3B4/PP3PPP/RNBQK1NR b KQkq - 0 6,b8a6
3r3k/2Nr2pp/2qP1pn1/p3p3/8/1p3P2/1P4PP/3R1RK1 w - - 2 29,c7e6
r5k1/pNn2rb1/2pQ2pp/5p2/3p4/PP1P1q1P/1P3P1P/1RB2RK1 w - - 3 22,d6g3
1r2k3/p2n4/3Q1P2/4p3/P1B4P/3P1P1q/8/5RK1 b - - 3 37,h3g3
2r5/4k1pp/p3p3/5p2/RP2b3/3N2P1/2P2P1P/2KN4 w - - 1 27,d3c5
5r1r/1ppk4/p2p1p2/3PpR2/4P2p/2N5/PPP3PK/8 b - - 1 25,h8g8
r2q2k1/ppp2p1p/3n2p1/3pr2P/8/2PBP3/PPQ2PP1/R3K2R w KQ - 0 16,h5g6
3r2k1/p1p2ppp/4p3/8/7Q/6N1/Prq2PPP/R4RK1 w - - 4 19,h4d8
8/7P/p3k3/1b2pp2/1P1r4/6K1/1R1B4/8 b - - 0 50,d4g4
r1b5/pp2p1k1/2p1Pp2/3p2p1/4Q2b/3BP3/PPPK1q2/RN6 w - - 0 20,d2c3
2kr4/2p5/p2p4/1p4NR/1P2P3/2r3PK/2P5/8 b - - 1 30,d8e8
2r1k2r/1pp1bppb/p3p3/4n1P1/4P3/P1PP1N2/1P6/R3KB1R w KQk - 0 21,f3e5
1r6/2R3p1/4pk1p/3p1p2/8/4r2P/6PK/2R5 w - - 4 41,c7a7
2k5/ppp1p1b1/2n1qnpp/3N4/4pQ2/4P1B1/PPP2PPP/3R2K1 b - - 1 19,e6d6
8/1R4p1/4pk1p/3p1p2/8/7P/5PP1/5K2 w - - 2 35,f1e2
4rrk1/p4ppp/1p6/2q5/2Pp4/1P5P/P2RQPP1/4R1K1 w - - 0 22,e2e8
r1bqr1k1/p2nppbp/1ppp2p1/4P2n/2PP4/2N2NPP/PP3PB1/R1BQ1RK1 w - - 1 11,g3g4
r1b1k2r/pppp1ppp/2n2b2/8/2B5/8/PPPP1PPP/R1B1K1NR w KQkq - 2 9,c2c3
6k1/p1p2pp1/1p1bp1q1/n7/3P3Q/6P1/P3RP1P/5RK1 b - - 3 28,g6d3
rn1q1rk1/pbpp2p1/1p2pn1p/2b5/4P3/2NB1N2/PPP2PPP/R1BQ1RK1 w - - 4 9,d1e2
8/2K1k3/2p3r1/2P5/8/8/2R3P1/8 b - - 0 47,e7e8
8/5kp1/1K5p/ppq5/3b4/P2b1P1P/6P1/8 w - - 0 39,b6b7
rnbqk2r/pppp1ppp/8/8/2P1N3/8/PP1PPbPP/R1BQKB1R w KQkq - 0 7,e4f2
2r3k1/3bn1q1/3p1p1p/2p1pPp1/rpP1P1P1/3P1N1P/1R1QR1BK/8 b - - 1 36,c8e8
6k1/p3qp1p/6p1/2pP4/2pb4/P7/1P3PPP/R1BR2K1 b - - 0 21,e7f6
r2qkbnr/1Qp1pppp/p1n1b3/3p4/8/2P3P1/PP1PPPBP/RNB1K1NR b KQkq - 0 5,c6e5
r2q1rk1/pp2ppbp/2p2np1/2P2b2/8/6P1/PP1PPPBP/R1BQ1RK1 w - - 2 12,d2d4
2kr4/1p4pp/1q2p3/p7/2p1PP2/BP1p4/P1P2QPP/5RK1 w - - 0 24,f2b6
r3n2k/ppp1n1p1/3p2rp/4p3/2BPPp2/P1P4q/PB3P1N/R2Q2RK w - - 6 20,g1g6
rnbqk2r/pp1pnpbp/2p1p1p1/8/3P4/3BPN2/PPPN1PPP/R1BQK2R w KQkq - 0 6,e3e4
r1bqkb1r/ppp2ppp/3ppn2/3P4/2P5/2P2NP1/P3PPBP/R1BQ1RK1 w kq - 0 10,d5e6
2kr1bnr/pbpn1ppp/1p1ppq2/1B6/3P1B2/2P1PN2/PP1N1PPP/R2QK2R w KQ - 3 8,d1a4
2kr3r/ppp2ppp/8/4p3/2B3P1/2P1bPN1/P2N2K1/R2Q1R2 b - - 1 20,d8d2
8/8/p2k1p2/1p1p1b2/3K4/P7/8/8 w - - 1 61,d4e3
8/q6p/5Kp1/4BP2/4k1P1/8/8/2q5 b - - 1 63,h7h6
6k1/4pp1p/3p2p1/2p1bN2/2P1P1Q1/3B3P/3P1P1K/q6b w - - 3 35,f2f4
r1b2rk1/1ppqnppp/p1np4/5P1Q/4P1P1/P1N1B3/1PP4P/2KR1B1R b - - 0 15,f7f6
2q1k2r/p2b1ppp/4pn2/3p4/1B1P4/4PN2/1P1Q1PPP/1BR3K1 b k - 1 19,c8a6
8/pkp2p2/P1p5/4p2p/3pP3/QP1P1P1q/2P1KP2/8 b - - 0 31,b7c8
5rk1/pp4pp/4P3/4p3/2pbP3/P6P/5PP1/1R3RK1 b - - 0 27,b7b6
6k1/8/5p2/6pp/4Nn1P/8/6PK/8 b - - 1 42,g8f7
rnbqk1nr/pppppp2/7b/7p/3PP1p1/2N2P2/PPP3PP/R1BQKBNR w KQkq - 1 5,c1h6
3r2k1/p4ppp/1b2p1n1/4P3/1P2N3/P5Pb/1B3P1P/R5K1 b - - 3 26,h7h6
r1bqr1k1/ppp1bppp/2np1n2/8/3PP3/2N2N1P/PPB2PP1/R1BQK2R b KQ - 2 9,c6b4
2r3k1/p4ppp/4p3/8/7P/1P4P1/P3R3/4K3 w - - 1 24,e2e4
r5k1/1p3p1p/4p1p1/1b1p4/p4PNQ/P7/1qR3P1/4R1K1 b - - 0 27,b2c2
r3r1k1/1bp2pp1/3b1q1p/p1p4Q/PpB1P3/3P3P/1PP2PP1/R1B2RK1 b - - 2 17,b7a6
r2qk2r/3b2pp/p2b1n2/n3p3/2p5/P1Pp1NNP/B2P1PP1/1RBQR1K1 b kq - 1 17,e8g8
r3r3/1p2k3/pqn5/3p1B2/3P3Q/2P4P/PP1N1PP1/1R3RK1 b - - 0 22,e7d6
r3k2r/pb1p1p1p/p1pPp2p/q7/4P3/2b2N2/PPP2PPP/R2QR1K1 w kq - 0 11,b2c3
r2qrbk1/ppn2p1p/3p2pP/2pP1b1n/2P4N/P1N1B3/1P2BPP1/2RQ1K1R b - - 8 17,h5g3
6k1/pp4p1/2p2p1p/2PnpP2/1P1q4/PB4PP/4Q2K/8 w - - 4 37,e2d1
r4rk1/1p1b1p1p/5qp1/n1Q1N3/1R1N4/P2P3P/2P2PP1/5RK1 b - - 1 24,d7f5
r5k1/1p3ppp/4p3/1R2P3/8/8/P1r2PPP/5RK1 w - - 0 21,h2h4
r3k2r/pppq1pp1/3p1nnp/4P2b/3P4/2NBB1QP/PPP3P1/R3K2R b kq - 0 13,d6e5
2r3k1/3p3p/6pP/3rPp2/pp1N1P2/3K4/PP6/3R4 w - - 3 35,d3e3
r4rk1/ppp1nppp/1b1p1q2/P7/1PB5/1QP1PP2/5P1P/3R1RK1 b - - 0 17,e7f5
8/5p1k/7p/2QP4/4PNr1/2N2K2/8/3b4 w - - 3 38,c3d1
1r2r1k1/pp1q1ppp/2p2n2/3np3/Q5b1/3P1NP1/PP1BPPBP/2R2RK1 b - - 1 14,e5e4
2kr3r/ppp3pp/3b1n2/2q1pR2/8/2NP4/PPP1BBPP/R2Q3K b - - 4 14,c5b4
2k4r/pppq1p1p/3b1Bp1/3P4/3pN3/2PK1Q2/Pr4PP/R6R b - - 3 22,d4c3
2r3k1/1bq2pb1/4p1p1/1pPpP2p/1p1N1P2/P6P/4Q3/4R1K1 w - - 0 27,a3b4
r1b2rk1/2pp1ppp/p1nqp3/1p1n2P1/1P1P1P1P/P3P3/1P4B1/RNBQK1NR w KQ - 0 11,b1c3
1r1qr1k1/p1pn1ppp/6b1/2b5/6Q1/3P1N2/PPP1BPPP/RNB2RK1 b - - 0 14,e8e2
3r4/2p1bp2/kpNp4/4p2Q/7p/2B2P1q/p1PP1P1P/2KR3R b - - 2 20,h3d7
1r2r1k1/pBp2pbp/6p1/8/8/2NbP1P1/PPnB1P1P/3RR1K1 w - - 1 20,b7g2
rnb2rk1/pp5p/4p1p1/3p4/8/8/P3KPPP/R4B1R w - - 0 17,h2h4
r1b5/p5kq/1p3b1p/4NPp1/2BP4/2P5/P1Q3PP/4R1K1 b - - 2 27,c8f5
2kr3r/ppp2p1p/4b1p1/4b3/4P3/2P2PP1/PP4P1/RN3RK1 w - - 0 16,b1a3
2rr2k1/p2qbp2/Qp2p1pp/8/3B4/2P4P/P1B2PP1/1R2R1K1 w - - 1 24,b1d1
8/8/5k2/3Q3p/4B2K/8/8/8 w - - 4 60,h4h5
1k3rq1/1b5R/1p3p2/1N1pP1N1/P7/6Q1/1P6/2K5 b - - 0 37,f8c8
2rq1rk1/5bpp/1p1QB3/8/1p2P3/n4P2/6PP/3R1RK1 w - - 1 26,d6b4
1r2kb1r/3qn1p1/2npbp1p/p1p1p2P/4P3/N1B5/2PP1PPR/R1Q1KBN1 b Q - 17 22,d6d5
rnbqk2r/6pp/p1pb1p2/1p3p2/2BPpP2/2N4N/PPP3PP/R2QK2R w KQkq - 0 10,c4b3
2kr3r/ppp2pp1/2n1pnp1/8/3P4/4PN1P/Pq1N1PP1/R2QK2R w KQ - 2 15,e1g1
r2q1rk1/bpp3pp/p2p4/P3p3/1PP2p2/2P5/4QPPP/R4RK1 b - - 2 21,c7c6
r1bq1rk1/pp2bppp/3ppn2/8/2PNPP2/2NQB3/PP4PP/R4RK1 b - - 1 11,f6g4
7K/8/6P1/8/8/8/1p4k1/8 b - - 0 60,b2b1q
rn5r/ppp1kpp1/5n1p/2P1p1Bb/4P3/2N2P2/PPP3PP/2KR1B1R w - - 0 11,c3d5
8/8/2r5/2P3B1/6kP/2R1K3/8/8 b - - 10 60,g4f5
r4rk1/5ppp/p1b1p3/P3P3/N1P5/3n4/5K1P/1RR5 w - - 2 32,f2e3
r3k2r/ppp4p/5p2/8/3n4/5P2/PPP2P1P/R3KB1R w KQkq - 1 15,e1c1
3r1rk1/1p2qpp1/2p2np1/p2Pp1N1/2PbP1B1/2N2QP1/PP4K1/2R4R b - - 6 24,d4c3
r3r1k1/ppp1qppp/8/6P1/8/P1NQ4/1PP3P1/2K4R b - - 0 19,e7g5
6rk/1b2qpp1/p3p2p/1p4r1/6R1/8/PPB1Q1PP/3R3K w - - 10 30,g4g5
r1b1kbnr/pppp1ppp/2n2q2/1B2p3/8/4P3/PPPP1PPP/RNBQK1NR w KQkq - 4 4,g1e2
3r2k1/p4p1p/5p2/1pp5/3p3N/2P5/PP3PPP/2K1R3 w - - 0 22,c3d4
2r2krR/p4p2/1p3Q2/2p2p2/2Np4/3P4/PP3PPP/4R1K1 b - - 6 32,g8h8
6rk/p6p/8/3p4/5b1P/2KP4/PPP2n2/RNB5 b - - 0 29,f4c1
8/2k2Bp1/1n2p3/1P6/3K1P2/1P6/2rN2PP/8 w - - 1 37,d4d3
rn2k2r/pQ3ppp/3qpn2/3pN2b/3P4/4P2P/PP1B1PP1/R3KB1R b KQkq - 0 13,e8g8
r1b2rk1/pp2n1b1/2nqp1pp/2p5/4PP1N/2P5/PPQN2PP/R1B2RK1 w - - 2 16,e4e5
1r1r2k1/2p1qpp1/2np4/p3p1P1/P3Pn2/2Pb1N2/NP1Q1P1R/R3K3 b Q - 0 23,e7e6
2k5/ppp2ppp/2p5/8/8/2P3P1/PP3PK1/3q4 b - - 0 24,d1a1
8/8/8/8/1K4k1/8/2q5/1q6 w - - 6 67,b4a5
r2qkbnr/ppp3pp/5p2/8/2BP2b1/8/PP3PPP/RNBQR1K1 b kq - 2 9,f8e7
r1b4k/pppp2p1/7p/4q1b1/4Pn2/2PP4/PP3PPP/RN1Q1RK1 w - - 0 17,b1d2
8/P1K1q2k/1P2P3/8/8/2P3p1/8/8 w - - 1 69,c7b8
q6k/8/4Q2p/P2pP1p1/1p1P2P1/b3P3/3B2KP/8 w - - 0 41,e6h6
r2q1rk1/pbpnpp1p/1p4p1/4b1PP/8/2NQ4/PPP5/R1B1KBNR w KQ - 1 13,h1h4
r4rk1/p2q2pp/1pbbpp2/8/3PpP2/1P1B3P/PBP3P1/R2Q1RK1 w - - 0 16,d3e2
3r2k1/4b1p1/2Q1Nrq1/5p2/4bBPn/2N4P/PP6/4RRK1 w - - 3 25,c3e4
rn1qkb1r/pp3ppp/2pp4/8/4Ppn1/3P2P1/PPP3BP/RNB2KNR w kq - 0 8,g3f4
r3kb1r/pbq2p1p/2p3p1/4p3/2P3n1/2NB2PP/PPQB1P2/R4RK1 b kq - 0 15,g4f6
r2qk2r/pp1nbpp1/2p1p1p1/7n/P2P3P/2N1BP2/1P2P1P1/R2QKB1R b KQkq - 1 12,e6e5
8/1bpk2p1/1pn2pNp/1P1BpP2/p3P3/2P4P/P2N2P1/3K2b1 b - - 0 27,c6d8
4k2r/p4pp1/3Bp2p/n7/3Pp3/4PP2/P5PP/2r2RK1 w - - 0 24,f1c1
r3kbnr/1bq2ppp/p7/1p2p3/2p5/1B2BPP1/PPP3KP/RN1QR3 w kq - 1 15,a2a4
3R4/5pkp/p5p1/2p5/P3p3/4K1P1/1P5P/R7 w - - 0 34,e3e4
r2qk1nr/pppn1ppp/1b2p3/3pP3/3P4/2PB1Q2/PP1N1PPP/R1B1R1K1 b kq - 2 11,h7h6
r4rk1/pn1bbppp/B1p1pn2/8/1P2P3/P1N1B3/3N1PPP/R4RK1 b - - 4 17,d7c8
5k2/p7/1p2Rpp1/8/P1B5/8/1PK5/8 b - - 1 46,g6g5
rnbqk2r/pp2npbp/3pp1p1/2pP4/2P1P3/3B1N2/PP3PPP/RNBQK2R b KQkq - 2 7,e8g8
8/pp4kp/6p1/8/P7/3r2P1/1PP2PKP/1N2r3 w - - 0 29,c2d3
rn1q1rk1/ppp3pn/3bp2p/3p4/3P1pb1/PP3NP1/1BPNPPBP/R2QR1K1 w - - 0 11,c2c4
4r3/pppkr1pp/5p2/2PP1R2/1P2P1n1/P7/3N2PP/5RK1 w - - 3 25,f5f3
